log start @ 2021-08-16 00:53:48
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 271584 training_end 376704
training_ma_cross @ 2020-06-01 00:00:00 365.0 day
thread 0 training rand 126839 2019-02-14 09:55:00 profit 1.151
thread 0 training rand 155372 2019-05-24 11:40:00 profit 1.140
thread 0 training rand 180381 2019-08-19 07:45:00 profit 0.973
thread 0 training rand 198421 2019-10-20 23:05:00 profit 0.851
thread 0 training rand 212999 2019-12-10 13:55:00 profit 1.039
thread 0 training rand 247141 2020-04-07 03:05:00 profit 1.016
thread 0 training rand 1229 2017-12-05 06:25:00 profit 1.070
thread 0 training rand 27271 2018-03-05 16:35:00 profit 1.197
thread 0 training rand 69183 2018-07-29 05:15:00 profit 1.106
thread 0 training rand 100087 2018-11-13 12:35:00 profit 1.189
thread 0 training rand 118450 2019-01-16 06:50:00 profit 1.033
thread 0 training rand 134035 2019-03-11 09:35:00 profit 1.023
thread 0 training rand 161712 2019-06-15 12:00:00 profit 0.941
thread 0 training rand 186917 2019-09-11 00:25:00 profit 0.933
thread 0 training rand 226975 2020-01-28 02:35:00 profit 0.917
thread 0 training rand 246426 2020-04-04 15:30:00 profit 1.100
thread 0 training rand 15457 2018-01-23 16:05:00 profit 1.242
thread 0 training rand 38408 2018-04-13 08:40:00 profit 0.934
thread 0 training rand 53874 2018-06-06 01:30:00 profit 0.857
thread 0 training rand 88746 2018-10-05 03:30:00 profit 1.020
thread 0 training rand 119429 2019-01-19 16:25:00 profit 1.067
thread 0 training rand 139514 2019-03-30 10:10:00 profit 0.960
thread 0 training rand 162814 2019-06-19 07:50:00 profit 0.957
thread 0 training rand 192605 2019-09-30 18:25:00 profit 0.995
thread 0 training rand 233189 2020-02-18 16:25:00 profit 0.927
thread 0 training rand 253677 2020-04-29 19:45:00 profit 0.977
thread 0 training rand 6422 2017-12-23 07:10:00 profit 0.855
thread 0 training rand 51067 2018-05-27 07:35:00 profit 0.813
thread 0 training rand 53627 2018-06-05 04:55:00 profit 0.899
thread 0 training rand 91393 2018-10-14 08:05:00 profit 0.845
thread 0 training rand 120897 2019-01-24 18:45:00 profit 1.095
thread 0 training rand 133652 2019-03-10 01:40:00 profit 0.994
thread 0 training rand 157626 2019-06-01 07:30:00 profit 1.101
thread 0 training rand 189317 2019-09-19 08:25:00 profit 1.179
thread 0 training rand 227730 2020-01-30 17:30:00 profit 1.090
thread 0 training rand 236744 2020-03-02 00:40:00 profit 1.169
thread 0 training rand 17410 2018-01-30 10:50:00 profit 0.697
thread 0 training rand 32480 2018-03-23 18:40:00 profit 1.005
thread 0 training rand 53745 2018-06-05 14:45:00 profit 1.096
thread 0 training rand 98900 2018-11-09 09:40:00 profit 0.927
thread 0 training rand 126032 2019-02-11 14:40:00 profit 1.025
thread 0 training rand 137088 2019-03-22 00:00:00 profit 0.973
thread 0 training rand 158200 2019-06-03 07:20:00 profit 0.889
thread 0 training rand 186888 2019-09-10 22:00:00 profit 1.048
thread 0 training rand 212570 2019-12-09 02:10:00 profit 0.942
thread 0 training rand 259439 2020-05-19 19:55:00 profit 1.049
thread 0 training rand 10291 2018-01-05 17:35:00 profit 0.783
thread 0 training rand 30836 2018-03-18 01:40:00 profit 1.040
thread 0 training rand 61616 2018-07-02 22:40:00 profit 1.030
thread 0 training rand 89383 2018-10-07 08:35:00 profit 0.928
thread 0 training rand 109080 2018-12-14 18:00:00 profit 1.256
thread 0 training rand 154626 2019-05-21 21:30:00 profit 0.923
thread 0 training rand 157953 2019-06-02 10:45:00 profit 1.068
thread 0 training rand 206046 2019-11-16 10:30:00 profit 0.894
thread 0 training rand 228636 2020-02-02 21:00:00 profit 0.966
thread 0 training rand 259573 2020-05-20 07:05:00 profit 0.846
thread 0 training rand 8281 2017-12-29 18:05:00 profit 1.032
thread 0 training rand 30855 2018-03-18 03:15:00 profit 1.060
thread 0 training rand 52295 2018-05-31 13:55:00 profit 0.867
thread 0 training rand 80362 2018-09-06 00:50:00 profit 1.240
thread 0 training rand 104781 2018-11-29 19:45:00 profit 0.896
thread 0 training rand 132422 2019-03-05 19:10:00 profit 0.995
thread 0 training rand 163626 2019-06-22 03:30:00 profit 1.067
thread 0 training rand 186635 2019-09-10 00:55:00 profit 1.045
thread 0 training rand 227095 2020-01-28 12:35:00 profit 0.910
thread 0 training rand 235556 2020-02-26 21:40:00 profit 0.969
thread 0 training rand 3728 2017-12-13 22:40:00 profit 0.699
thread 0 training rand 41014 2018-04-22 09:50:00 profit 1.104
thread 0 training rand 76890 2018-08-24 23:30:00 profit 0.986
thread 0 training rand 100846 2018-11-16 03:50:00 profit 1.067
thread 0 training rand 122291 2019-01-29 14:55:00 profit 0.972
thread 0 training rand 133026 2019-03-07 21:30:00 profit 0.966
thread 0 training rand 171036 2019-07-17 21:00:00 profit 0.995
thread 0 training rand 189464 2019-09-19 20:40:00 profit 1.003
thread 0 training rand 231781 2020-02-13 19:05:00 profit 0.829
thread 0 training rand 244603 2020-03-29 07:35:00 profit 1.089
thread 0 training rand 14309 2018-01-19 16:25:00 profit 0.822
thread 0 training rand 33737 2018-03-28 03:25:00 profit 0.965
thread 0 training rand 71177 2018-08-05 03:25:00 profit 1.123
thread 0 training rand 95814 2018-10-29 16:30:00 profit 1.017
thread 0 training rand 125084 2019-02-08 07:40:00 profit 0.965
thread 0 training rand 135854 2019-03-17 17:10:00 profit 0.993
thread 0 training rand 173245 2019-07-25 13:05:00 profit 0.847
thread 0 training rand 188282 2019-09-15 18:10:00 profit 1.142
thread 0 training rand 231766 2020-02-13 17:50:00 profit 0.766
thread 0 training rand 239271 2020-03-10 19:15:00 profit 1.525
thread 0 training rand 6224 2017-12-22 14:40:00 profit 1.420
thread 0 training rand 37129 2018-04-08 22:05:00 profit 1.017
thread 0 training rand 58086 2018-06-20 16:30:00 profit 0.940
thread 0 training rand 84851 2018-09-21 14:55:00 profit 0.827
thread 0 training rand 119473 2019-01-19 20:05:00 profit 0.937
thread 0 training rand 137186 2019-03-22 08:10:00 profit 1.029
thread 0 training rand 159921 2019-06-09 06:45:00 profit 1.084
thread 0 training rand 203332 2019-11-07 00:20:00 profit 0.974
thread 0 training rand 212061 2019-12-07 07:45:00 profit 1.022
thread 0 training rand 249432 2020-04-15 02:00:00 profit 0.897
thread 0 training rand 4402 2017-12-16 06:50:00 profit 1.129
thread 0 training rand 27708 2018-03-07 05:00:00 profit 1.145
thread 0 training rand 55435 2018-06-11 11:35:00 profit 1.047
thread 0 training rand 87866 2018-10-02 02:10:00 profit 1.021
thread 0 training rand 111932 2018-12-24 15:40:00 profit 0.860
thread 0 training rand 155805 2019-05-25 23:45:00 profit 0.770
thread 0 training rand 170184 2019-07-14 22:00:00 profit 0.692
thread 0 training rand 189465 2019-09-19 20:45:00 profit 1.005
thread 0 training rand 229548 2020-02-06 01:00:00 profit 1.135
thread 0 training rand 254885 2020-05-04 00:25:00 profit 0.972
thread 0 training rand 14798 2018-01-21 09:10:00 profit 1.065
thread 0 training rand 41402 2018-04-23 18:10:00 profit 0.697
thread 0 training rand 71831 2018-08-07 09:55:00 profit 1.213
thread 0 training rand 99161 2018-11-10 07:25:00 profit 0.950
thread 0 training rand 106372 2018-12-05 08:20:00 profit 0.979
thread 0 training rand 131641 2019-03-03 02:05:00 profit 1.033
thread 0 training rand 177198 2019-08-08 06:30:00 profit 1.081
thread 0 training rand 206469 2019-11-17 21:45:00 profit 0.992
thread 0 training rand 227506 2020-01-29 22:50:00 profit 1.051
thread 0 training rand 247381 2020-04-07 23:05:00 profit 0.910
thread 0 training rand 6038 2017-12-21 23:10:00 profit 1.026
thread 0 training rand 50300 2018-05-24 15:40:00 profit 0.812
thread 0 training rand 70432 2018-08-02 13:20:00 profit 1.121
thread 0 training rand 81899 2018-09-11 08:55:00 profit 0.931
thread 0 training rand 112442 2018-12-26 10:10:00 profit 1.007
thread 0 training rand 136796 2019-03-20 23:40:00 profit 1.032
thread 0 training rand 176541 2019-08-05 23:45:00 profit 0.903
thread 0 training rand 205735 2019-11-15 08:35:00 profit 0.956
thread 0 training rand 228124 2020-02-01 02:20:00 profit 1.176
thread 0 training rand 246600 2020-04-05 06:00:00 profit 1.090
thread 0 training rand 16202 2018-01-26 06:10:00 profit 1.042
thread 0 training rand 28755 2018-03-10 20:15:00 profit 0.947
thread 0 training rand 76514 2018-08-23 16:10:00 profit 1.077
thread 0 training rand 98418 2018-11-07 17:30:00 profit 1.049
thread 0 training rand 124812 2019-02-07 09:00:00 profit 1.166
thread 0 training rand 153251 2019-05-17 02:55:00 profit 0.864
thread 0 training rand 156967 2019-05-30 00:35:00 profit 0.710
thread 0 training rand 187733 2019-09-13 20:25:00 profit 1.162
thread 0 training rand 227843 2020-01-31 02:55:00 profit 0.905
thread 0 training rand 237401 2020-03-04 07:25:00 profit 0.939
thread 0 training rand 3748 2017-12-14 00:20:00 profit 1.244
thread 0 training rand 46263 2018-05-10 15:15:00 profit 1.099
thread 0 training rand 76086 2018-08-22 04:30:00 profit 0.985
thread 0 training rand 79779 2018-09-04 00:15:00 profit 1.300
thread 0 training rand 126365 2019-02-12 18:25:00 profit 1.146
thread 0 training rand 136482 2019-03-19 21:30:00 profit 1.017
thread 0 training rand 167048 2019-07-04 00:40:00 profit 1.062
thread 0 training rand 201498 2019-10-31 15:30:00 profit 0.918
thread 0 training rand 218989 2019-12-31 09:05:00 profit 1.034
thread 0 training rand 240788 2020-03-16 01:40:00 profit 0.699
thread 0 training rand 3557 2017-12-13 08:25:00 profit 1.352
thread 0 training rand 28476 2018-03-09 21:00:00 profit 1.118
thread 0 training rand 54013 2018-06-06 13:05:00 profit 1.127
thread 0 training rand 102752 2018-11-22 18:40:00 profit 0.914
thread 0 training rand 109559 2018-12-16 09:55:00 profit 1.226
thread 0 training rand 141317 2019-04-05 16:25:00 profit 0.839
thread 0 training rand 159326 2019-06-07 05:10:00 profit 1.028
thread 0 training rand 185357 2019-09-05 14:25:00 profit 0.977
thread 0 training rand 229971 2020-02-07 12:15:00 profit 1.014
thread 0 training rand 235837 2020-02-27 21:05:00 profit 1.035
thread 0 training rand 17861 2018-02-01 00:25:00 profit 1.347
thread 0 training rand 40809 2018-04-21 16:45:00 profit 0.697
thread 0 training rand 65643 2018-07-16 22:15:00 profit 0.987
thread 0 training rand 88152 2018-10-03 02:00:00 profit 1.014
thread 0 training rand 119739 2019-01-20 18:15:00 profit 0.991
thread 0 training rand 147028 2019-04-25 12:20:00 profit 1.003
thread 0 training rand 161728 2019-06-15 13:20:00 profit 1.064
thread 0 training rand 193432 2019-10-03 15:20:00 profit 1.020
thread 0 training rand 233150 2020-02-18 13:10:00 profit 0.993
thread 0 training rand 245374 2020-03-31 23:50:00 profit 1.202
thread 0 training rand 967 2017-12-04 08:35:00 profit 0.798
thread 0 training rand 31426 2018-03-20 02:50:00 profit 0.961
thread 0 training rand 54738 2018-06-09 01:30:00 profit 1.127
thread 0 training rand 102120 2018-11-20 14:00:00 profit 0.912
thread 0 training rand 114316 2019-01-01 22:20:00 profit 1.137
thread 0 training rand 135416 2019-03-16 04:40:00 profit 1.008
thread 0 training rand 160895 2019-06-12 15:55:00 profit 0.882
thread 0 training rand 185001 2019-09-04 08:45:00 profit 1.022
thread 0 training rand 234689 2020-02-23 21:25:00 profit 0.974
thread 0 training rand 252278 2020-04-24 23:10:00 profit 1.126
thread 0 training rand 19976 2018-02-08 08:40:00 profit 0.747
thread 0 training rand 31329 2018-03-19 18:45:00 profit 0.970
thread 0 training rand 54610 2018-06-08 14:50:00 profit 0.994
thread 0 training rand 80934 2018-09-08 00:30:00 profit 0.860
thread 0 training rand 125909 2019-02-11 04:25:00 profit 1.015
thread 0 training rand 141160 2019-04-05 03:20:00 profit 1.143
thread 0 training rand 160160 2019-06-10 02:40:00 profit 1.160
thread 0 training rand 199396 2019-10-24 08:20:00 profit 0.968
thread 0 training rand 216409 2019-12-22 10:05:00 profit 1.004
thread 0 training rand 244601 2020-03-29 07:25:00 profit 1.092
thread 0 training rand 4024 2017-12-14 23:20:00 profit 0.989
thread 0 training rand 44181 2018-05-03 09:45:00 profit 1.019
thread 0 training rand 73960 2018-08-14 19:20:00 profit 0.906
thread 0 training rand 82116 2018-09-12 03:00:00 profit 0.928
thread 0 training rand 120623 2019-01-23 19:55:00 profit 1.112
thread 0 training rand 143028 2019-04-11 15:00:00 profit 1.012
thread 0 training rand 173005 2019-07-24 17:05:00 profit 1.002
thread 0 training rand 208843 2019-11-26 03:35:00 profit 1.014
thread 0 training rand 225655 2020-01-23 12:35:00 profit 0.923
thread 0 training rand 247618 2020-04-08 18:50:00 profit 0.870
thread 0 training rand 22549 2018-02-17 07:05:00 profit 0.946
